# timestamp tx ty tz qx qy qz qw
1759519053.660687 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1760655972.659771 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1760655972.893087 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1760655973.093089 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1760655973.293211 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1760655973.526402 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1760655973.726422 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1760655973.926430 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1760655974.126437 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1760655974.326508 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1760655974.560656 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1760655974.762510 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1760655974.993136 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1760655975.226448 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1760655975.426455 0.104099 -0.008918 0.000000 0.000000 0.000000 -0.000000 1.000000
1760655975.626502 0.255319 0.021206 0.000000 0.000000 0.000000 -0.000072 1.000000
1760655975.860498 0.443856 0.058763 0.000000 0.000000 0.000000 -0.000120 1.000000
1760655976.093103 0.507809 0.071503 0.000000 0.000000 0.000000 -0.000140 1.000000
1760655976.359757 0.601949 0.090256 0.000000 0.000000 0.000000 -0.000147 1.000000
1760655976.559764 0.590120 0.077342 0.000000 0.000000 0.000000 -0.000148 1.000000
1760655976.759765 0.579916 0.066185 0.000000 0.000000 0.000000 -0.000147 1.000000
1760655977.029493 0.651986 0.062997 0.000000 0.000000 0.000000 -0.000200 1.000000
1760655977.259763 0.682020 0.061669 0.000000 0.000000 0.000000 -0.000224 1.000000
1760655977.493092 0.709301 0.060463 0.000000 0.000000 0.000000 -0.000240 1.000000
1760655977.728490 0.833642 0.084712 0.000000 0.000000 0.000000 -0.000338 1.000000
1760655977.959770 0.886233 0.094969 0.000000 0.000000 0.000000 -0.000383 1.000000
1760655978.193089 0.891922 0.106391 0.000000 0.000000 0.000000 -0.000307 1.000000
1760655978.426432 0.901593 0.125788 0.000000 0.000000 0.000000 -0.000186 1.000000
1760655978.629513 0.905737 0.134115 0.000000 0.000000 0.000000 -0.000142 1.000000
1760655978.859765 0.868532 0.135803 0.000000 0.000000 0.000000 -0.000102 1.000000
1760655979.126430 0.804531 0.138709 0.000000 0.000000 0.000000 -0.000053 1.000000
1760655979.326441 0.776332 0.139984 0.000000 0.000000 0.000000 -0.000032 1.000000
1760655979.559761 0.791192 0.138055 0.000000 0.000000 0.000000 0.000064 1.000000
1760655979.759789 0.843046 0.153378 0.000000 0.000000 0.000000 0.000131 1.000000
1760655979.993093 0.969745 0.178016 0.000000 0.000000 0.000000 0.000292 1.000000
1760655980.193094 1.044871 0.188039 0.000000 0.000000 0.000000 0.000413 1.000000
1760655980.393123 1.155269 0.197352 0.000000 0.000000 0.000000 0.001056 0.999999
1760655980.661488 1.381819 0.219942 0.000000 0.000000 0.000000 0.002229 0.999998
1760655980.893098 1.541602 0.231553 0.000000 0.000000 0.000000 0.002945 0.999996
1760655981.159758 1.859372 0.253576 0.000000 0.000000 0.000000 0.004556 0.999990
1760655981.359769 1.942388 0.268545 0.000000 0.000000 0.000000 0.005299 0.999986
1760655981.559776 2.059426 0.289691 0.000000 0.000000 0.000000 0.006474 0.999979
1760655981.826424 2.371806 0.345770 0.000000 0.000000 0.000000 0.009159 0.999958
1760655982.026429 2.491228 0.376092 0.000000 0.000000 0.000000 0.010320 0.999947
1760655982.226440 2.642320 0.410668 0.000000 0.000000 0.000000 0.011841 0.999930
1760655982.493092 2.939843 0.473786 0.000000 0.000000 0.000000 0.013865 0.999904
1760655982.693093 3.092391 0.503865 0.000000 0.000000 0.000000 0.014992 0.999888
1760655982.893100 3.274467 0.532566 0.000000 0.000000 0.000000 0.015388 0.999882
1760655983.126425 3.699959 0.586996 0.000000 0.000000 0.000000 0.015015 0.999887
1760655983.326426 3.945684 0.612171 0.000000 0.000000 0.000000 0.014189 0.999899
1760655983.526434 4.176057 0.635778 0.000000 0.000000 0.000000 0.013310 0.999911
1760655983.759768 4.610681 0.692784 0.000000 0.000000 0.000000 0.011577 0.999933
1760655983.993094 4.822540 0.710599 0.000000 0.000000 0.000000 0.010312 0.999947
1760655984.226435 5.277188 0.737681 0.000000 0.000000 0.000000 0.007868 0.999969
1760655984.426445 5.508022 0.721026 0.000000 0.000000 0.000000 0.005089 0.999987
1760655984.693087 5.877630 0.700182 0.000000 0.000000 0.000000 0.001173 0.999999
1760655984.893097 6.065158 0.693739 0.000000 0.000000 0.000000 -0.000730 1.000000
1760655985.159760 6.425770 0.671568 0.000000 0.000000 0.000000 -0.003757 0.999993
1760655985.359773 6.606199 0.655746 0.000000 0.000000 0.000000 -0.005632 0.999984
1760655985.563279 6.814870 0.644862 0.000000 0.000000 0.000000 -0.006199 0.999981
1760655985.793092 7.234101 0.609792 0.000000 0.000000 0.000000 -0.007204 0.999974
1760655985.993104 7.476634 0.593926 0.000000 0.000000 0.000000 -0.007531 0.999972
1760655986.259762 7.936552 0.567844 0.000000 0.000000 0.000000 -0.007109 0.999975
1760655986.459765 8.202189 0.556193 0.000000 0.000000 0.000000 -0.006835 0.999977
1760655986.693089 8.772836 0.530020 0.000000 0.000000 0.000000 -0.005917 0.999982
1760655986.893099 9.045977 0.519662 0.000000 0.000000 0.000000 -0.005688 0.999984
1760655987.128495 9.631380 0.488904 0.000000 0.000000 0.000000 -0.005413 0.999985
1760655987.359761 9.949254 0.470382 0.000000 0.000000 0.000000 -0.005903 0.999983
1760655987.593094 10.621498 0.454390 0.000000 0.000000 0.000000 -0.006152 0.999981
